item,count
receive-cookie-deprecation,10
rlas3,9
pxrc,9
li_sugr,9
audit,8
uuid2,8
XANDR_PANID,8
personalization_id,8
audit_p,8
khaos,8
khaos_p,8
__cf_bm,8
AnalyticsSyncHistory,8
UserMatchHistory,8
MS0,7
MC1,7
demdex,7
CMPRO,6
CMID,6
CMPS,6
dpm,6
tuuid,5
tuuid_lu,5
muc_ads,5
tv_UIDM,4
tvid,4
ARRAffinitySameSite,3
ARRAffinity,3
guest_id_ads,3
guest_id,3
guest_id_marketing,3
yandexuid,3
bh,3
i,3
yuidss,3
ymex,3
sp,2
is_gdpr_b,2
yandex_gid,2
yp,2
is_gdpr,2
yashr,2
everest_g_v2,2
anj,2
acs,2
clid,2
rdrlst,2
sglst,2
icu,2
vdz_sync,2
anon_u,1
_xsrf,1
visitorId,1
XSRF-TOKEN,1
_wixAB3,1
bito,1
tt,1
bitoIsSecure,1
sa-user-id-v3,1
guid,1
checkForPermission,1
sa-user-id-v2,1
sa-user-id,1
TapAd_TS,1
TapAd_DID,1
ccpa,1
TapAd_3WAY_SYNCS,1
sc_at,1
cpra,1
pt,1
sync_cookie_csrf,1
sync_cookie_ok,1
ts,1
g,1
c,1
cee,1
kndctr_5CE4123F5245B06C0A490D45_AdobeOrg_identity,1
apnid,1
sono,1
dt,1
udmts,1
vdzj1_96967aa1,1
magid,1
A3,1
ct0,1
WMF-Uniq,1
mc,1
flashtalkingad1,1
lidid,1
yieldmo_id,1
st_uid,1
vdzj1_9f044fa4,1
t_gid,1
taboola_session_id,1
st_ssp,1
t_pt_gid,1
taboola_vmp,1
mda2_domains,1
yandex_login,1
my,1
Session_id,1
ys,1
yandex_csyr,1
sessar,1
mda2_beacon,1
zencookie,1
zen_sso_checked,1
zen_vk_sso_checked,1
VISITOR_PRIVACY_METADATA,1
YSC,1
VISITOR_INFO1_LIVE,1
GPS,1
__Secure-ROLLOUT_TOKEN,1
__Secure-YEC,1
brwsr,1
irtps,1
cf_clearance,1
